Borehole ID,Date,Na+ (mg/L),K+(mg/L),Mg2+ (mg/L),Ca2+ (mg/L),Cl- (mg/L),SO42- (mg/L),HCO3- (mg/L),PO43- (mg/L),NO3- (mg/L),Br- (mg/L),F- (mg/L)
BOPBH001,Mar-23,11.67,1.38,4.58,2.96,31.29,1.92,3.10,0.10,24.11,0.13,0.05
BOPBH002,Mar-23,0.10,0.10,0.10,0.03,2.21,0.75,4.00,0.10,0.05,0.05,0.05
KABH001,Mar-23,182.20,3.91,49.03,74.86,489.89,174.12,47.30,0.10,NaN,1.47,0.28
KABH002,Mar-23,34.53,1.72,10.30,62.40,64.29,52.57,131.80,0.10,0.05,0.22,0.16
KABH005,Mar-23,239.00,7.57,71.10,120.60,657.86,112.21,190.10,0.10,0.05,2.00,0.17
HOLBH001,Mar-23,48.64,0.10,10.16,12.76,114.12,7.53,21.90,0.10,9.13,0.35,0.05
HOLBH004,Mar-23,36.48,0.55,4.88,2.42,78.31,8.12,5.40,0.10,3.69,0.23,0.05
VERBH000,Mar-23,385.80,4.59,61.52,27.04,900.65,96.93,12.60,0.40,18.38,2.53,0.05
VERBH001,Mar-23,299.30,13.08,55.60,42.32,614.46,150.99,52.90,0.10,78.60,1.78,0.05
VERBH002,Mar-23,55.88,2.40,11.77,6.92,135.30,11.18,5.30,0.10,23.35,0.42,0.09
VERBH004,Mar-23,78.79,3.24,20.89,11.76,182.99,5.85,4.00,0.10,89.71,0.53,0.21
VERBH005,Sep-23,65.04,2.29,16.39,13.07,134.14,39.54,14.60,0.10,33.55,0.42,0.05
LANGBH001,Mar-23,135.60,2.30,25.58,11.44,335.11,24.10,12.40,0.10,1.97,0.95,0.10
LANGBH003,Mar-23,96.11,0.69,14.82,7.60,202.33,23.83,6.80,0.10,20.81,0.59,0.05
LANGBH005,Mar-23,405.80,6.12,96.88,38.20,1044.39,84.17,13.60,0.10,65.91,2.83,0.05
LANGBH006,Mar-23,152.20,3.21,38.28,18.53,426.70,15.81,10.70,0.24,17.85,1.21,0.07
BERGBH002,Mar-23,43.42,0.10,6.09,2.91,91.13,5.62,5.40,0.28,8.04,0.28,0.05
BERGBH004,Mar-23,82.63,1.81,16.72,10.50,186.95,34.34,4.30,0.25,21.65,0.52,0.16
BERGBH005,Mar-23,98.04,2.57,18.29,8.60,212.07,33.75,5.90,0.10,29.34,0.63,0.15
BERGBH007,Mar-23,225.20,3.94,45.91,28.49,539.33,64.17,16.90,1.78,33.19,1.56,0.17
KRMSBH001,Mar-23,108.20,1.68,18.57,37.24,276.13,27.99,31.00,0.10,15.33,0.82,0.05
BOPBH101,Jun-23,10.62,0.62,2.18,0.83,32.85,0.91,4.80,0.10,8.88,0.09,0.05
BOPBH102,Jun-23,0.14,0.10,0.10,0.03,0.75,0.75,4.80,0.10,0.05,NaN,NaN
KABH101,Jun-23,61.41,3.01,19.99,72.88,149.81,80.73,107.70,0.10,NaN,0.46,0.47
KABH102,Jun-23,271.00,8.57,83.64,125.00,721.55,117.96,184.40,0.10,NaN,2.23,0.17
KABH103,Jun-23,204.40,4.58,49.43,71.85,503.17,139.52,35.50,NaN,0.50,1.58,0.39
HOLBH101,Jun-23,58.37,0.71,13.07,12.89,138.16,7.75,21.60,NaN,10.61,0.41,0.05
HOLBH102,Jun-23,37.61,1.26,5.22,1.60,78.08,7.93,5.20,0.10,3.58,0.23,0.05
HOLBH104,Jun-23,112.50,5.52,28.52,61.23,314.43,40.27,75.10,NaN,NaN,0.92,0.05
VERBH101,Jun-23,422.40,5.63,65.11,28.75,937.51,92.48,14.60,0.42,18.02,2.54,0.05
VERBH102,Jun-23,58.20,3.16,12.60,6.65,135.81,11.12,6.90,0.10,23.30,0.42,0.08
VERBH104,Jun-23,81.45,4.09,21.32,12.09,182.15,5.74,5.90,0.10,83.75,0.53,0.27
VERBH106,Jun-23,57.69,2.36,11.15,8.05,106.57,22.09,11.60,0.10,21.68,0.34,0.05
LANGBH101,Jun-23,463.10,7.48,106.70,39.52,1089.04,85.51,12.90,0.10,69.91,3.02,0.05
LANGBH102,Jun-23,170.40,4.33,41.32,18.83,440.21,16.51,10.90,0.21,18.46,1.25,0.05
LANGBH103,Jun-23,58.23,1.13,9.63,4.50,123.13,13.08,7.10,0.10,14.84,0.36,0.05
LANGBH105,Jun-23,123.40,2.45,22.66,9.63,284.18,21.46,13.80,0.10,3.85,0.81,0.05
BERGBH101,Jun-23,40.95,0.78,6.51,2.93,88.42,5.52,6.90,0.10,6.69,0.28,0.06
BERGBH105,Jun-23,85.34,2.50,17.88,10.78,184.25,34.77,6.80,0.18,19.78,0.51,0.17
BERGBH107,Jun-23,238.70,4.29,48.39,27.85,535.96,61.76,15.90,1.84,32.79,1.62,0.20
BERGBH109,Jun-23,82.44,1.48,14.46,6.03,171.71,18.83,6.30,0.10,28.59,0.52,0.05
KRMSBH101,Jun-23,65.70,0.82,10.34,4.64,130.48,8.47,11.70,NaN,17.04,0.39,0.05
KRMSBH102,Jun-23,9.95,0.92,3.53,16.61,21.95,3.92,42.20,0.10,0.74,0.07,0.07
KABH204,Nov-23,249.90,9.29,74.03,125.80,657.75,120.34,174.10,NaN,0.05,2.14,0.16
HOLBH203,Nov-23,65.74,0.62,14.61,17.35,158.77,7.31,18.60,NaN,11.92,0.48,0.05
VERBH203,Nov-23,86.75,6.25,20.37,19.28,161.50,52.75,18.40,1.18,50.82,0.52,0.05
LANGBH202,Nov-23,163.50,4.97,31.78,26.68,374.75,34.36,4.30,0.36,65.37,1.07,0.05
BERGBH202,Nov-23,91.57,1.86,19.09,9.32,92.36,7.25,2.80,0.20,6.61,0.30,0.05
BERGBH208,Nov-23,92.08,1.88,19.17,9.45,217.12,16.74,2.40,0.10,21.68,0.61,0.05
KRMSBH202,Nov-23,69.36,4.49,9.46,23.06,140.97,12.19,31.70,NaN,12.86,0.44,0.05
BOPBH301,Jan-24,10.68,0.37,2.09,5.10,22.66,0.98,5.00,0.23,10.47,0.08,0.05
KABH305,Jan-24,232.99,8.06,67.61,159.94,865.23,115.06,178.50,NaN,NaN,2.11,0.17
HOLBH303,Jan-24,50.82,0.58,10.40,21.45,129.24,6.84,16.80,0.10,11.13,0.38,0.05
VERBH305,Jan-24,65.80,2.76,13.61,10.63,136.65,33.29,7.60,0.10,39.43,0.41,0.05
LANGBH301,Jan-24,153.82,4.16,36.73,22.78,533.81,17.08,6.00,0.10,18.03,1.25,0.05
BERGBH308,Jan-24,91.60,2.04,19.08,12.77,224.04,16.48,5.00,0.10,26.54,0.62,0.07
KRMSBH301,Jan-24,99.58,2.18,15.56,35.60,286.14,25.81,27.10,0.10,16.86,0.80,0.05
,,,,,,,,,,,,
